Name,Type,Country,Description,Supporting_Text
"India","Country","None","Areas were set aside by royal decree over 2,000 years ago for the protection of natural resources. Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into le...","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... India, ..."
"Europe","Region","None","Geographic region for which a publication (EUROPARC and IUCN, 1999) discussed applying the 1994 Guidelines. Hunting grounds were protected for the rich and powerful for a thousand years.","for Europe (EUROPARC and IUCN, 1999)"
"Pacific","Region","None","Traditional “tapu” areas reflect community practices of protecting special places.","the traditions of communities in the Pacific ("tapu" areas)"
"Africa","Region","None","Home to sacred groves and, later, a number of large game parks created during the 20th‑century expansion of protected areas. Region referenced in the Revised African Convention on the Conservation of ...","the Revised African Convention on the Conservation of Nature and Natural Resources 2003 ... uses the IUCN categories (Level 1)"
"United States","Country","None","Early adopter of national parks; enacted the Yosemite Grant (1864) and established Yellowstone (1872).","In 1864, with the Yosemite Grant, the US Congress gave a small part of the present Yosemite National Park to the State of California for ""public use, resort and recreation"". The first true national park came in 1872 with the dedication of Yellowstone by United States law ""as a public park or plea..."
"California","Region","United States","State that received a portion of Yosemite National Park for public use under the 1864 Yosemite Grant.","the US Congress gave a small part of the present Yosemite National Park to the State of California for "public use, resort and recreation"."
"Yosemite National Park","Other","United States","One of the earliest protected areas, partially granted to California in 1864 for public recreation.","the US Congress gave a small part of the present Yosemite National Park to the State of California for "public use, resort and recreation"."
"Yellowstone","Other","United States","The first true national park, dedicated in 1872 as a public park for the benefit and enjoyment of the people.","The first true national park came in 1872 with the dedication of Yellowstone by United States law "as a public park or pleasuring ground for the benefit and enjoyment of the people"."
"New South Wales","Region","Australia","Australian state that hosted a national‑level workshop on applying the 1994 Guidelines. British colony that took the first steps toward creating the modern Blue Mountains National Park in 1866.","New South Wales"
"Australia","Country","None","Country where national‑level workshops were organised to explore how to apply the 1994 Guidelines in a local context and where a specific publication (ANCA, 1995) addressed their use. Early pioneer of...","e.g. in Australia"
"Blue Mountains National Park","Other","Australia","Modern protected area whose creation was initiated in 1866 by the colony of New South Wales.","In 1866, the British Colony of New South Wales in Australia took the first steps in creation of the modern Blue Mountains National Park."
"Royal National Park","Other","Australia","Established in 1879 in the wilds south of Sydney, one of the world’s earliest national parks.","in 1879, Royal National Park was created in the wilds south of Sydney."
"Sydney","City","Australia","Reference city for the location of Royal National Park.","Royal National Park was created in the wilds south of Sydney."
"Canada","Country","None","Country where a national‑level workshop was held to explore the use of the 1994 Guidelines. Protected hot springs in the Bow Valley (1885), leading to the creation of Banff National Park.","Canada"
"Bow Valley","Other","Canada","Valley where hot springs were protected in 1885, later incorporated into Banff National Park.","hot springs in the Bow Valley of the Rocky Mountains, part of which became the Banff National Park."
"Rocky Mountains","Other","None","Mountain range spanning Canada and the United States; the Bow Valley lies within it.","Bow Valley of the Rocky Mountains"
"Banff National Park","Other","Canada","Protected area that originated from the 1885 protection of Bow Valley hot springs.","part of which became the Banff National Park."
"South Africa","Country","None","Established several forest reserves in the late 19th century as part of early protected‑area efforts.","Several forest reserves were set up in South Africa in the last years of the nineteenth century."
"New Zealand","Country","None","Maori chief’s 1887 gift of sacred mountain summits led to the formation of Tongariro National Park.","In 1887 a Maori Chief offered the Crown 2,400 ha of the sacred summits of Tongariro, Ngauruhoe and Ruapehu: these became in time part of Tongariro National Park in New Zealand."
"Tongariro National Park","Other","New Zealand","Protected area created from sacred summits offered by a Maori chief in 1887.","these became in time part of Tongariro National Park in New Zealand."
"Tongariro","Other","New Zealand","One of the sacred summits offered to the Crown in 1887, now part of Tongariro National Park.","sacred summits of Tongariro, Ngauruhoe and Ruapehu"
"Ngauruhoe","Other","New Zealand","One of the sacred summits offered to the Crown in 1887, now part of Tongariro National Park.","sacred summits of Tongariro, Ngauruhoe and Ruapehu"
"Ruapehu","Other","New Zealand","One of the sacred summits offered to the Crown in 1887, now part of Tongariro National Park.","sacred summits of Tongariro, Ngauruhoe and Ruapehu"
"United Kingdom","Country","None","Country where a national‑level workshop was held to explore the application of the 1994 Guidelines. Has about 12 different national names for protected areas.","e.g. in ... UK"
"North America","Region","None","One of the “new” nations where the modern protected‑area movement originated in the 19th century.","the modern protected areas movement had nineteenth century origins in the then "new" nations of North America, Australia, New Zealand and South Africa"
"Lake District","Other","United Kingdom","Described by William Wordsworth in 1810 as “a sort of national property”.","The English poet, William Wordsworth, wrote in 1810 of his vision of the Lake District as "a sort of national property"."
"London","City","None","Host city of the 1933 International Conference for the Protection of Fauna and Flora, the first effort to clarify protected‑area terminology.","the International Conference for the Protection of Fauna and Flora, held in London."
"Sub‑Saharan Africa","Region","None","Region where colonial powers widely applied the four protected‑area categories recommended in 1933.","which were widely used by colonial powers in Sub‑Saharan Africa."
