Name,Type,Role,Country,Description,Supporting_Text
"Gary Haq","Individual","Documents and analyses the historical development of environmentalism, helping to inform contemporary movements.","None","Co‑author of the environmental history timeline.","Gary Haq and Alistair Paul"
"Alistair Paul","Individual","Documents and analyses the historical development of environmentalism, helping to inform contemporary movements.","None","Co‑author of the environmental history timeline.","Gary Haq and Alistair Paul"
"United Nations","Organization","Provides a global governance platform that later hosts major environmental conferences and treaties.","International","International intergovernmental organization founded in 1945.","The United Nations is established"
"Fairfield Osborn","Individual","Raised early public awareness of ecological degradation through influential writing.","None","Author of *Our Plundered Planet* (1948).","Fairfield Osborn publishes Our Plundered Planet"
"William Vogt","Individual","Contributed to early environmental thought by linking population growth to resource limits.","None","Author of *Road to Survival* (1948).","William Vogt publishes Road to Survival"
"Defenders of Wildlife","NGO","Advocates for the protection of wildlife and habitats, influencing policy and public opinion.","United States","U.S. wildlife‑conservation organization founded in 1947.","The US Defenders of Wildlife is established"
"Marshall Plan","Government","Provided financial resources that shaped post‑war development patterns, indirectly affecting land‑use and environmental policy.","United States","U.S. post‑war economic recovery program adopted in 1947.","The US Marshall Plan for post-war economic recovery is adopted"
"Aldo Leopold","Individual","Introduced the land‑ethic concept, influencing conservation philosophy and policy.","None","Ecologist and author of *Sand County Almanac* (1949).","Aldo Leopold publishes 4 Sand County Almanac"
"The Nature Conservancy","NGO","Acquires and manages lands for biodiversity protection, shaping conservation practice and policy.","United States","U.S. conservation organization founded in 1951.","The US Nature Conservancy is established"
"Harry S. Truman","Individual","Established the Paley Commission to assess future natural‑resource supplies, linking federal planning to environmental stewardship.","United States","President of the United States (1945‑1953).","US President Truman establishes the Paley Commission to examine future supply of natural resources"
"Paley Commission","Other","Provided scientific assessment that informed early federal resource‑management policy.","United States","U.S. government commission created in 1951 to study natural‑resource availability.","US President Truman establishes the Paley Commission to examine future supply of natural resources"
"Keep America Beautiful","NGO","Promoted litter reduction and public‑spirit campaigns (e.g., “Crying Indian”) to change consumer behaviour.","United States","U.S. environmental campaign founded in 1953.","The Keep America Beautiful campaign is established"
"Beaver Committee","Other","Provided authoritative evidence that led to stricter air‑quality legislation in the UK.","United Kingdom","British government committee that reported on air‑pollution levels in 1954.","The UK Beaver Committee concludes levels of air pollution can no longer be tolerated"
"J. K. Galbraith","Individual","Critiqued consumer‑driven growth, influencing early environmental economics discourse.","None","U.S. economist and author of *The Affluent Society* (1958).","US economist J. K. Galbraith publishes The Affluent Society"
"World Wildlife Fund (WWF)","NGO","Mobilises global campaigns to protect wildlife and habitats, shaping international conservation policy.","International","International conservation organization founded in 1961.","World Wildlife Fund (WWF) is established"
"Rachel Carson","Individual","Sparked the modern environmental movement by exposing pesticide harms, leading to policy reforms.","None","Marine biologist and author of *Silent Spring* (1962).","Rachel Carson publishes Silent Spring"
"Natural Resources Defense Council","NGO","Uses litigation and policy analysis to protect natural resources and public health.","United States","U.S. environmental advocacy organization founded in 1970.","Natural Resources Defense Council is established"
"Don't Make a Wave Committee","NGO","Organised direct‑action protests that later evolved into the Greenpeace movement.","Canada","Canadian activist group formed in 1970 to protest nuclear testing.","Don't Make a Wave Committee is established to protest against nuclear testing in Canada"
"Royal Commission on Environmental Pollution","Other","Investigated pollution issues and advised the UK government on environmental regulation.","United Kingdom","British government commission created in 1970.","The UK Royal Commission on Environmental Pollution is established"
"Friends of the Earth","NGO","Coordinates grassroots campaigns and policy advocacy for ecological justice worldwide.","International","International environmental network founded in 1969.","Friends of the Earth is established"
"Environmental Defense Fund","NGO","Pursues scientific‑based litigation and policy work to curb pollution and protect ecosystems.","United States","U.S. environmental organization founded in 1967.","US Environmental Defense Fund is established"
"International Union for Conservation of Nature (IUCN)","NGO","Provides authoritative assessments of species' conservation status, guiding international policy.","International","Global union of governments and NGOs that published its first Red Data Book in 1966.","The International Union for Conservation of Nature publishes its first Red Data Book on endangered species"
"James Lovelock","Individual","Introduced a planetary‑scale view of Earth systems, influencing ecological thinking and policy.","None","Scientist who formulated the Gaia hypothesis (1972).","James Lovelock develops his Gaia hypothesis"
"Barbara Ward","Individual","Advocated for sustainable development, linking economic policy to environmental limits.","None","Economist and author of *Only One Earth* (1972).","Barbara Ward publishes Only One Earth"
"E. F. Schumacher","Individual","Promoted appropriate scale and human‑centred economics, influencing eco‑economic discourse.","None","Economist and author of *Small is Beautiful* (1973).","E. F. Schumacher publishes Small is Beautiful"
"Murray Bookchin","Individual","Advanced ecological social theory that underpins many contemporary environmental movements.","None","Social theorist and author of *Post‑Scarcity Anarchism* (1973).","Murray Bookchin publishes Post-Scarcity Anarchism"
"US Ecology Center","NGO","Pioneered community‑based waste‑reduction programs that informed later recycling policies.","United States","California‑based environmental organization that launched a recycling demonstration in 1973.","The US Ecology Center launches a recycling demonstration project in California"
"Club of Rome","NGO","Provided a systems‑analysis model of global resource limits, shaping sustainability debates.","International","International think‑tank that published *The Limits to Growth* in 1972.","Club of Rome publishes The Limits to Growth"
"United States","Government","Adopted landmark environmental legislation (e.g., Clean Air Act, Clean Water Act, NEPA) that created regulatory frameworks for nature’s wellbeing.","United States","Federal government of the United States.","USA adopts the Clean Air Act"
"United Kingdom","Government","Implemented early air‑quality and pollution legislation, establishing a national regulatory approach to environmental health.","United Kingdom","Sovereign state of Great Britain.","UK adopts its first Clean Air Act"
"Al Gore","Individual","Held the Live Earth concert in 2007 to raise public awareness and mobilize action against climate change.","United States","Former U.S. Vice President and climate advocate who organized a global music event to raise climate awareness.","2007 Al Gore holds a Live Earth concert to raise awareness to combat climate change"
"IPCC","Organization","Published the fourth (2007) and fifth (2014) assessment reports on climate change, providing scientific foundations for policy and activism.","International","The Intergovernmental Panel on Climate Change, a UN scientific body that assesses climate science.","IPCC publishes its fourth assessment report on climate change"
"UNEP","Organization","Launched a Global Green New Deal (2008) and published the ""Towards a Green Economy"" report (2011) to guide policy and mobilize green transformation.","International","United Nations Environment Programme, the leading global environmental authority within the UN system.","UNEP launches a Global Green New Deal"
"United Kingdom","Government","Adopted the world’s first legally binding Climate Change Act in 2008, and later abolished two environmental commissions in 2011.","United Kingdom","The national government of the United Kingdom.","2008 UK adopts the world's first Climate Change Act with a legally binding commitment to reduce carbon emissions"
