Name,Type,Country,Description,Supporting_Text
"United Nations","Institution","None","Global intergovernmental organization targeted by high‑profile environmental campaigns. International organization established in 1945. International organization that convened the World Summit on Sus...","aimed at influencing national governments and global institutions such as the UN."
"New York","City","United States","City (state) where Lake Success is located and where the 1949 UNSCCUR took place. City mentioned in relation to the 9/11 terrorist attacks on the World Trade Center, which preceded a decline in anti‑g...","World Trade Center in New York"
"London","City","United Kingdom","City considered for a third runway by the Roskill Commission in the early 1970s. City where FoE UK staged a publicity stunt by dumping glass bottles outside the headquarters of Schweppes. Host city of...","Hundreds of glass bottles were dumped outside the front door of the London headquarters of Schweppes."
"United Kingdom","Country","United Kingdom",", Beaver Committee, Clean Air Act, Environmental Pollution Act). Adopted the world's first Climate Change Act in 2008. Base of many early environmental campaign groups and the origin of the UK anti‑ro...","UK scientists are no nearer to proving that GM crops are safe as protesters have found and destroyed every crop trial attempted since 2000."
"United States","Country","None",", Defenders of Wildlife, multiple federal environmental statutes). A 1989 survey of Americans showed high concern for environmental impacts of purchased products. Base of many early environmental camp...","Three Mile Island nuclear accident occurs in the USA"
"Vietnam","Country","None","Country referenced as part of the historical backdrop (the Vietnam War) that helped spread modern environmental concern. Country where chemical herbicides were used during the Vietnam War, referenced ...","The fact that modern environmental concern spread following atomic bomb tests and to the backdrop of the Vietnam War is a point much referred to by historians and environmentalists."
"Paris","City","France","Host city of a biosphere conference in 1968. Host city of the 1968 Biosphere Conference organized by UNESCO.","the 1968 Biosphere Conference held in Paris"
"Cornwall","Region","United Kingdom","Coastal region where the Torrey Canyon oil spill occurred in 1967.","Torrey Canyon oil spill occurs off the coast of Cornwall"
"Santa Barbara","City","USA","Coastal city in California where an oil platform explosion released large volumes of crude oil. Site of an oil slick in 1969.","Two years later, an explosion on the Union Oil Company oil platform, six miles off the coast of Santa Barbara in California, resulted in the release of hundreds of thousands of gallons of crude oil."
"Cuyahoga River","Other","United States","River in Ohio, USA, site of a 1969 oil slick fire that received extensive television coverage and helped raise public awareness of pollution. River that experienced a fire in 1969.","Coverage of the 1969 oil slick fire on the Cuyahoga River and the Santa Barbara Channel oil spill were key moments in the growing media coverage of the human impact on the environment."
"Canada","Country","None","Country mentioned as a market where companies have developed green product marketing strategies. Country where the Don't Make a Wave Committee was founded to protest nuclear testing. Participated in a...","the US and Canadian governments undertook a similar scientific exercise"
"Oregon","Region","United States","S. U. state that enacted the landmark Bottle Bill in 1971 to reduce litter and conserve resources. state whose Bottle Bill became law in 1971.","the State of Oregon's landmark Bottle Bill became law"
"Stockholm","City","Sweden","City after which the 2001 Stockholm Convention on Persistent Organic Pollutants is named. City where the Stockholm Environment Institute was established. Host city mentioned in connection with the 201...","Stockholm Environment Institute"
"Italy","Country","None","Country of the Genoa G8 summit. Country where the 2001 G8 summit in Genoa took place, leading to violent clashes between protesters and police. Country where the Seveso disaster occurred in 1976. Coun...","G8 summit in Genoa (Italy)"
"Barnsley","City","United Kingdom","Location of the UK's first bottle bank in 1977. Town where the UK's first bottle bank was placed in a Tesco supermarket car park.","Barnsley, South Yorkshire"
"South Yorkshire","Region","United Kingdom","Region that hosted the UK's first bottle bank and where the county council promoted glass recycling. Region where Barnsley is located.","Barnsley, South Yorkshire"
"France","Country","None","Country near which the Amoco Cadiz oil disaster occurred. Country represented at the 1971 FoE international network meeting and home to FoE's sister group Les Amis de la Terre. Country where Daniel Co...","near Brittany France"
"Brittany","Region","France","Region near the Amoco Cadiz oil disaster.","near Brittany France"
"New York State","Region","United States","S. State where the Love Canal neighbourhood is located. U. state containing the Love Canal neighbourhood, mentioned in the context of a toxic‑waste incident.","Love Canal neighbourhood in New York State"
"Love Canal neighbourhood","Other","United States","Neighbourhood where toxic waste was discovered.","Love Canal neighbourhood in New York State"
"Kentucky","Region","United States","S. State where the Valley of the Drums toxic waste dump is located. U. state where the Valley of the Drums toxic‑waste site is located.","Valley of the Drums -- a 23-acre toxic waste dump in Kentucky"
"Valley of the Drums","Other","United States","23‑acre toxic waste dump in Kentucky. A 23‑acre toxic‑waste dump in Kentucky that received media attention in 1979.","Valley of the Drums -- a 23-acre toxic waste dump in Kentucky"
"Sweden","Country","None","Country represented at the 1971 FoE meeting and later home to the green party Miljöpartiet de gröna. Country where Miljépartiet de Gréna was established and the Stockholm Environment Institute was fou...","Miljépartiet de Gréna is established as Sweden's first green political party"
"Afton","City","United States","Predominantly Black community in North Carolina that protested a hazardous waste site. Predominantly Black community in Warren County, North Carolina, site of a 1982 protest against a hazardous‑waste ...","Residents of Afton, a predominantly black community"
"North Carolina","Region","United States","S. State where the Afton community is located. U. state where Warren County and the community of Afton are located, referenced in the origin story of the environmental justice movement.","hazardous waste site in North Carolina"
"Times Beach","City","United States","Town in Missouri evacuated due to a toxin scare. Town in Missouri that was permanently evacuated in 1983 because of a toxin scare.","Times Beach in Missouri is evacuated due to toxin scare"
"Missouri","Region","United States","S. State containing Times Beach. U. state where the town of Times Beach was evacuated in 1983.","Times Beach in Missouri"
"Bhopal","City","India","City where the Union Carbide disaster occurred. Site of the 1984 Union Carbide chemical explosion.","Union Carbide Bhopal disaster occurs in India"
"India","Country","India","Country of the Bhopal disaster. Country where WWF‑donated funds were allocated to projects. Emerging world power influencing the future direction of global environmental governance. Listed as a major ...","backed by India, Mexico and a number of other countries"
"Auckland","City","New Zealand","City where Greenpeace's Rainbow Warrior was blown up. City where the Greenpeace vessel Rainbow Warrior was bombed by a French‑planted limpet mine.","in Auckland, New Zealand"
"New Zealand","Country","None","Country containing the city of Auckland, site of the Rainbow Warrior bombing. Country mentioned alongside Canada and the USA as a market for green product strategies. Country of the Auckland incident.","in Auckland, New Zealand"
"Ethiopia","Country","None","Country affected by famine for which Live Aid raised money. Country affected by the famine that the 1985 Live Aid concert aimed to alleviate.","Live Aid concert takes place to raise money for Ethiopian famine"
"Ukraine","Country","None","Country where the Chernobyl nuclear power plant exploded.","Chernobyl nuclear power plant explodes in Ukraine"
"Chernobyl","Other","Ukraine","Location of the 1986 nuclear power plant disaster. Site of the 1986 nuclear disaster. Site of the 1986 nuclear disaster that galvanized European opposition to nuclear energy. The Chernobyl nuclear dis...","Chernobyl nuclear power plant explodes in Ukraine"
"Scandinavia","Region","None","Region referenced in relation to acid rain. Region referenced in relation to acid‑rain impacts that the British government linked to its own air pollution. Region where scientists first expressed conc...","Scandinavian acid rain"
"Alaska","Region","United States","5 billion oil pipeline contested by environmental groups. S. State where the Exxon Valdez oil spill occurred. U. state referenced as the site of a proposed $2. state whose west coast includes Amchitka...","Exxon Valdez oil spill occurs in Alaska"
"Stockholm Environment Institute","Institution","Sweden","International environment‑development research institute established by the Swedish government.","Swedish government establishes the Stockholm Environment Institute as an international environment development research institute"
"IPCC","Institution","None","Intergovernmental Panel on Climate Change, established in 1988.","Intergovernmental Panel on Climate Change (IPCC) is established"
"Twyford Down","Other","United Kingdom","First road protest camp to hit national news in 1991; campaign lasted almost twenty years. Site of a road protest camp in 1991.","road protest camp at Twyford Down"
"Rio de Janeiro","City","Brazil","Host city of the 1992 Earth Summit. Host city of the 1992 Rio Earth Summit where biodiversity and climate change secured global political attention. One of the seven Live Earth concert venues in 2007....","Earth Summit is held in Rio de Janeiro, Brazil"
"Brazil","Country","None","Country containing the Amazonian region where the Rainforest Foundation International helped secure land rights for the Kayapo people. Country of the Rio de Janeiro Earth Summit. Country whose delegat...","Earth Summit is held in Rio de Janeiro, Brazil"
"European Union","Institution","None","9 % of fiscal spending on green stimulus. Cited alongside other major powers (China, Brazil, India, Japan, USA) as a power base in climate negotiations. Conducted a 2009 study finding two‑thirds of Eu...","European Union introduces a voluntary Eco-labelling scheme"
