Name,Definition,Significance,Domain,Supporting_Text
"Gaia hypothesis","A theory proposing that the Earth functions as a self‑regulating, living system.",,"","James Lovelock develops his Gaia hypothesis"
"The Limits to Growth","A seminal model/report that analyses the consequences of exponential economic and population growth within a planet with finite resources.",,"","Club of Rome publishes The Limits to Growth"
"Tragedy of the Commons","An argument describing how individuals, acting in their own self‑interest, can deplete shared resources, leading to collective loss.",,"","Garrett Hardin publishes 'The Tragedy of the Commons'"
"The Affluent Society","A critique of post‑war consumerism that highlights the disparity between private affluence and public squalor.",,"","US economist J. K. Galbraith publishes The Affluent Society"
"The Entropy Law and the Economic Process","A theoretical framework linking the second law of thermodynamics (entropy) to economic activity, arguing that economic processes inevitably increase disorder.",,"","Nicholas Georgescu‑Roegen publishes The Entropy Law and the Economic Process"
"Small is Beautiful","A philosophy advocating for appropriate scale in technology and economics, emphasizing human well‑being over large‑scale growth.",,"","E. F. Schumacher publishes Small is Beautiful"
"Post‑Scarcity Anarchism","A political theory envisioning a society where abundance eliminates the need for hierarchical authority and coercive institutions.",,"","Murray Bookchin publishes Post‑Scarcity Anarchism"
"Only One Earth","A vision emphasizing the singular, finite nature of the planet and the necessity of sustainable stewardship.",,"","Barbara Ward publishes Only One Earth"
"The Closing Circle","A work presenting an ecological worldview that integrates environmental limits with social and economic systems.",,"","Barry Commoner publishes The Closing Circle"
"Sustainable Development","A policy framework aimed at integrating environmental considerations into development, as reflected by the establishment of a UK Commission on Sustainable Development.",,"","2000 UK Commission on Sustainable Development is established"
"Eco‑labelling scheme","A voluntary labeling system introduced by the European Union to indicate the environmental performance of products.",,"","European Union introduces a voluntary Eco‑labelling scheme"
"Buy Nothing Day","An anti‑consumerist campaign launched in the United States encouraging people not to purchase goods for a day.",,"","Anti‑consumerist 'Buy Nothing Day' is launched in the USA"
"Ecosystem services","The benefits provided by ecosystems that can be quantified and valued economically, as attempted by Robert Costanza and colleagues.",,"","Economist Robert Costanza and colleagues attempt to value ecosystem services"
"Green political party","A political party centered on environmental issues, exemplified by Sweden's Miljépartiet de Gréna, the country's first green party.",,"","Miljépartiet de Gréna is established as Sweden's first green political party"
"environmentalism","A sense of concern for the environment held by hundreds of millions of people, encompassing the belief that the environment should be championed, looked after and protected, and influencing government...",,"","The term 'environmentalism' encompasses a sense of concern for the environment held by hundreds of millions of people across the world."
"wilderness preservation","A recognised strand of modern environmental thinking that focuses on protecting untouched natural areas.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"wildlife protection","A recognised strand of modern environmental thinking that aims to safeguard animal species and their habitats.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"resource conservation","A recognised strand of modern environmental thinking that seeks to use natural resources sustainably and avoid wasteful depletion.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"human ecology","A recognised strand of modern environmental thinking that studies the relationships between humans and their natural environment.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"eco‑feminism","A recognised strand of modern environmental thinking that links ecological concerns with feminist perspectives.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"eco‑theology","A recognised strand of modern environmental thinking that integrates religious or spiritual views with ecological stewardship.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"eco‑psychology","A recognised strand of modern environmental thinking that explores the psychological relationship between humans and the natural world.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"deep ecology","A recognised strand of modern environmental thinking that advocates for the intrinsic value of all living beings, independent of their utility to humans.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"radical ecology","A recognised strand of modern environmental thinking that calls for fundamental systemic change to address ecological crises.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"environmental justice","A recognised strand of modern environmental thinking that focuses on the fair distribution of environmental benefits and burdens across different communities.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"sustainable development","A recognised strand of modern environmental thinking that seeks to meet present needs without compromising the ability of future generations to meet theirs.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"green consumerism","A recognised strand of modern environmental thinking that encourages purchasing decisions that are environmentally friendly.",,"","Recognised strands of modern environmental thinking include, but are not limited to, wilderness preservation, wildlife protection, resource conservation, human ecology, eco-feminism, eco-theology, eco-psychology, deep ecology, radical ecology, environmental justice, sustainable development and green..."
"Global Green New Deal","A UNEP‑launched initiative that seeks to mobilise economic and social policies toward a greener, more sustainable future.",,"","UNEP launches a Global Green New Deal"
"Prosperity Without Growth","A paradigm proposing that societies can achieve wellbeing and prosperity without continuous economic growth.",,"","Tim Jackson publishes Prosperity Without Growth"
"green economy","An economic model that integrates environmental sustainability into production, consumption, and policy, as highlighted in UNEP’s report.",,"","UNEP publishes Towards a Green Economy report"
"Environmentalism","A set of ideas about how humanity should organise itself and interact with its environment, taken up in many forms across generations and continents.",,"","Each strand of modern environmental thinking brings its own set of ideas about how humanity should organise itself and interact with its environment… environmentalism has been taken up in many forms across generations and the continents of the world."
"Modern environmental thought","The early beginnings and latest ideas of contemporary environmental thinking that have developed over the past sixty years.",,"","As far as possible, the early beginnings of modern environmental thought are covered, as well as the very latest ideas and events."
"Environmental governance","Global structures and processes that manage environmental issues at the international level.",,"","Each chapter of Environmentalism since 1945 tells the story of a different aspect of environmentalism, starting with campaigns and campaign groups, then covering global environmental governance, science, economics and popular culture."
"Tragedy of the Commons","A principle describing how shared resources are over‑exploited when individuals act in their own self‑interest, leading to collective loss.",,"","'The Tragedy of the Commons' (Garrett Hardin, 1968) raised wider anxieties about the future of the planet."
"Limits to Growth","A systems‑based model that argues planetary resources and ecological capacity have finite limits, warning of potential collapse if growth continues unchecked.",,"","The Limits to Growth (Meadows et al., 1972) raised wider anxieties about the future of the planet."
